model,probe_dir,embedding_type,layer_name,auroc,status
LLaVA-Next-8B,query_token_layer_n,query_token_representation,layer_31,0.9026118259803924,Success
LLaVA-Next-8B,query_token_layer_n_2,query_token_representation,layer_16,0.9048947269880172,Success
LLaVA-Next-8B,query_token_layer_n_4,query_token_representation,layer_8,0.8453222869008714,Success
LLaVA-Next-8B,vision_only,vision_only_representation,,,all input arrays must have the same shape
LLaVA-Next-8B,vision_token_layer0,vision_token_representation,layer_0,0.603717745778867,Success
LLaVA-Next-8B,vision_token_layer_3n_4,vision_token_representation,layer_24,0.6193959354575164,Success
LLaVA-Next-8B,vision_token_layer_n,vision_token_representation,layer_31,0.6270329095179739,Success
LLaVA-Next-8B,vision_token_layer_n_2,vision_token_representation,layer_16,0.6191895595043573,Success
LLaVA-Next-8B,vision_token_layer_n_4,vision_token_representation,layer_8,0.6184863919526143,Success
Molmo-V1,query_token_layer0,query_token_representation,layer_0,0.7675404971232712,Success
Molmo-V1,query_token_layer_3n_4,query_token_representation,layer_24,0.9345488171089288,Success
Molmo-V1,query_token_layer_n,query_token_representation,layer_31,0.9193124158152854,Success
Molmo-V1,query_token_layer_n_2,query_token_representation,layer_16,0.9365232509040642,Success
Molmo-V1,query_token_layer_n_4,query_token_representation,layer_8,0.8587961379414465,Success
Molmo-V1,vision_only,vision_only_representation,,0.6829547625843616,Success
Molmo-V1,vision_token_layer0,vision_token_representation,layer_0,0.6935582033360146,Success
Molmo-V1,vision_token_layer_3n_4,vision_token_representation,layer_24,0.6861865120459333,Success
Molmo-V1,vision_token_layer_n,vision_token_representation,layer_31,0.6867149148776064,Success
Molmo-V1,vision_token_layer_n_2,vision_token_representation,layer_16,0.6930533899164699,Success
Molmo-V1,vision_token_layer_n_4,vision_token_representation,layer_8,0.6982289069374102,Success
Qwen2.5-VL-7B,query_token_layer0,query_token_representation,layer_0,0.8614042109615191,Success
Qwen2.5-VL-7B,query_token_layer_3n_4,query_token_representation,layer_21,0.921489802470982,Success
Qwen2.5-VL-7B,query_token_layer_n,query_token_representation,layer_27,0.9149978668097588,Success
Qwen2.5-VL-7B,query_token_layer_n_2,query_token_representation,layer_14,0.8794109755936647,Success
Qwen2.5-VL-7B,query_token_layer_n_4,query_token_representation,layer_7,0.8862547776863903,Success
Qwen2.5-VL-7B,vision_only,vision_only_representation,,0.7873055388174648,Success
Qwen2.5-VL-7B,vision_token_layer0,vision_token_representation,layer_0,0.6542626419011344,Success
Qwen2.5-VL-7B,vision_token_layer_3n_4,vision_token_representation,layer_21,0.6624699264159326,Success
Qwen2.5-VL-7B,vision_token_layer_n,vision_token_representation,layer_27,0.6683416974916322,Success
Qwen2.5-VL-7B,vision_token_layer_n_2,vision_token_representation,layer_14,0.6539151738000255,Success
Qwen2.5-VL-7B,vision_token_layer_n_4,vision_token_representation,layer_7,0.659325120184378,Success
SmolVLM2-2.2B,query_token_layer0,query_token_representation,layer_0,0.5039686543571116,Success
SmolVLM2-2.2B,query_token_layer12,query_token_representation,layer_12,0.9054711936232468,Success
SmolVLM2-2.2B,query_token_layer18,query_token_representation,layer_18,0.9272147109272524,Success
SmolVLM2-2.2B,query_token_layer23,query_token_representation,layer_23,0.901446484826063,Success
SmolVLM2-2.2B,query_token_layer6,query_token_representation,layer_6,0.8970770412224351,Success
SmolVLM2-2.2B,vision_only,vision_only_representation,,0.7237679234072131,Success
SmolVLM2-2.2B,vision_token_layer0,vision_token_representation,layer_0,0.6829000325115753,Success
SmolVLM2-2.2B,vision_token_layer12,vision_token_representation,layer_12,0.6844863731656184,Success
SmolVLM2-2.2B,vision_token_layer18,vision_token_representation,layer_18,0.6800945077859618,Success
SmolVLM2-2.2B,vision_token_layer23,vision_token_representation,layer_23,0.6893953407549412,Success
SmolVLM2-2.2B,vision_token_layer6,vision_token_representation,layer_6,0.686809829706611,Success
Phi4-VL,query_token_layer0,query_token_representation,layer_0,0.8629192027688268,Success
Phi4-VL,query_token_layer16,query_token_representation,layer_16,0.9072443012292636,Success
Phi4-VL,query_token_layer24,query_token_representation,layer_24,0.9304660460675498,Success
Phi4-VL,query_token_layer31,query_token_representation,layer_31,0.903344671201814,Success
Phi4-VL,query_token_layer8,query_token_representation,layer_8,0.8638113139992839,Success
Phi4-VL,vision_only,vision_only_representation,,0.6165607471058598,Success
Phi4-VL,vision_token_layer0,vision_token_representation,layer_0,0.7689029120420098,Success
Phi4-VL,vision_token_layer16,vision_token_representation,layer_16,0.7858351235230934,Success
Phi4-VL,vision_token_layer24,vision_token_representation,layer_24,0.7661609380594343,Success
Phi4-VL,vision_token_layer31,vision_token_representation,layer_31,0.7738498030791263,Success
Phi4-VL,vision_token_layer8,vision_token_representation,layer_8,0.7821055615228547,Success
Llama-3.2-11B,query_token_layer0,query_token_representation,layer_0,0.8622813579526103,Success
Llama-3.2-11B,query_token_layer10,query_token_representation,layer_10,0.8301403688026079,Success
Llama-3.2-11B,query_token_layer20,query_token_representation,layer_20,0.9258502408407532,Success
Llama-3.2-11B,query_token_layer30,query_token_representation,layer_30,0.9177978883861236,Success
Llama-3.2-11B,query_token_layer39,query_token_representation,layer_39,0.8959367245657568,Success
Llama-3.2-11B,vision_only,vision_only_representation,,0.7703026930375128,Success
Llama-3.2-11B,vision_token_layer0,vision_token_representation,layer_0,0.5986899722668224,Success
Llama-3.2-11B,vision_token_layer10,vision_token_representation,layer_10,0.7463144066559626,Success
Llama-3.2-11B,vision_token_layer20,vision_token_representation,layer_20,0.7391804116187417,Success
Llama-3.2-11B,vision_token_layer30,vision_token_representation,layer_30,0.759168369581083,Success
Llama-3.2-11B,vision_token_layer39,vision_token_representation,layer_39,0.7377481389578164,Success
